TAXPINNO,ADDRESS,ZIP,TAXDIST,NBHD_CODE,ACRES,SQFT,BLDG_CNT,PARCEL_USE,USE_DESC
R72 08702 0039,"1355 W Fifth St, Dayton OH 45402",45402,R72,81000MAC,0.12,5244,0,,
R72 00803 0009,"32 Webster St, Dayton OH 45402",45402,R72,C0100000,0.099,4333,0,,
R72 00707 0004,"142 Sears St, Dayton OH 45402",45402,R72,C1501000,0.02,861,0,,
R72 00710 0016,"35 Webster St, Dayton OH 45402",45402,R72,C1501000,0.157,6846,0,,
R72 06911 0018,"432 Fountain Ave, Dayton OH 45405",45405,R72,61000FVO,0.062,2708,0,,
R72 07409 0029,"51 Holt St, Dayton OH 45402",45402,R72,61010ODV,0.109,4737,0,,
R72 07406 0037,"244 Audubon Park, Dayton OH 45402",45402,R72,HISTXODV,0.053,2316,0,,
R72 07406 0040,"232 Audubon Park, Dayton OH 45402",45402,R72,HISTXODV,0.053,2287,0,,
R72 50509 0010,"40 Stonemill Rd, Dayton OH 45409",45409,R72,1103A000,0.041,1772,0,,
R72 03103 0046,"0 Caldwell St, Dayton OH 45409",45409,R72,C4001000,0.004,194,0,,
R72 00708 0019,"41 E Second St, Dayton OH 45402",45402,R72,C1501000,0.034,1492,0,,
R72 00705 0029,"110 N Patterson Blvd, Dayton OH 45402",45402,R72,C1501000,0.162,7075,0,,
R72 00708 0013,"324 E Second St, Dayton OH 45402",45402,R72,C1501000,0.089,3858,0,,
R72 03005B0018,"102 Plumwood Rd, Dayton OH 45409",45409,R72,11030UNP,0.018,778,0,,
R72 02812 0003,"118 Woodland Ave, Dayton OH 45409",45409,R72,C4001000,2.066,89982,0,,
R72 02806 0015,"705 Alberta St, Dayton OH 45409",45409,R72,11000UNP,0.084,3648,0,,
R72 02805 0021,"118 Woodland Ave, Dayton OH 45409",45409,R72,C4001000,0.105,4587,0,,
R72 02805 0019,"118 Woodland Ave, Dayton OH 45409",45409,R72,C4001000,0.101,4389,0,,
R72 02806 0078,"57 Chambers St, Dayton OH 45409",45409,R72,11000UNP,0.02,865,0,,
R72 06709 0038,"-9 N Main St, Dayton OH 45405",45405,R72,C8000000,0.3972,17233,0,,
R72 07503 0020,"849 Riverview Ter, Dayton OH 45402",45402,R72,61010ODV,0.061,2638,0,,
R72 07611 0018,"634 Ferguson Ave, Dayton OH 45402",45402,R72,61010SDV,0.022,942,0,,
R72 08502 0083,"709 S Edwin C Moses Blvd, Dayton OH 45402",45402,R72,C5000000,0.002,98,0,,
R72 08305 0041,"554 N Conover St, Dayton OH 45402",45402,R72,71000WOL,0.024,1049,0,,
R72 07503 0016,"857 Riverview Ter, Dayton OH 45402",45402,R72,61010ODV,0.139,6061,0,,
R72 00708 0001,"302 E Second St, Dayton OH 45402",45402,R72,C1501000,0.129,5624,0,,
R72 08702 0032,"1409 W Fifth St, Dayton OH 45402",45402,R72,C5000000,0.035,1544,0,,
R72 00701 0019,"210 N Saint Clair St, Dayton OH 45402",45402,R72,C1500000,0.242,10559,0,,
R72 00207 0044,"120 N Saint Clair St, Dayton OH 45402",45402,R72,3101H000,0.041,1769,0,,
R72 51318 0011,"215 Ice Ave, Dayton OH 45402",45402,R72,3100B000,0.005,202,0,,
R72 51318 0005,"215 Ice Ave, Dayton OH 45402",45402,R72,3100B000,0.005,202,0,,
R72 04502 0024,"42 Brenner Ave, Dayton OH 45403",45403,R72,32010SPR,0.07,3063,0,,
R72 01708 0001,"947 S Ludlow St, Dayton OH 45402",45402,R72,C4000000,1.589,69237,0,,
R72 03108 0036,"229 Lowes St, Dayton OH 45409",45409,R72,11020UNP,0.1130,4938,0,,
R72 01708 0011,"901 S Ludlow St, Dayton OH 45402",45402,R72,C4000000,0.432,18836,0,,
R72 01708 0006,"901 S Ludlow St, Dayton OH 45402",45402,R72,C4000000,2.43,105838,0,,
R72 05304 0032,"1311 Herman Ave, Dayton OH 45404",45404,R72,41000OND,0.065,2841,0,,
R72 03108 0037,"231 Lowes St, Dayton OH 45409",45409,R72,11020UNP,0.1261,5508,0,,
R72 00207 0060,"136 Canal Boat Ct, Dayton OH 45402",45402,R72,3100LITE,0.0151,659,0,,
R72 00701 0045,"0 E First St, Dayton OH 45402",45402,R72,3100PATT,0.3757,16370,0,,
R72 00207 0066,"124 Canal Boat Ct, Dayton OH 45402",45402,R72,3100LITE,0.0151,659,0,,
R72 08708 0063,"24 Barnett St, Dayton OH 45402",45402,R72,81000MAC,0.043,1889,0,,
R72 10302 0053,"-1 Pontiac Ave, Dayton OH 45417",45417,R72,81000EDG,0.06,2632,0,,
R72 10303 0008,"1134 Wisconsin Blvd, Dayton OH 45417",45417,R72,C5000000,0.098,4249,0,,
R72 10302 0022,"-1 Pontiac Ave, Dayton OH 45417",45417,R72,81000EDG,0.103,4468,0,,
R72 13608 0001,"1309 Jett Ave, Dayton OH 45417",45417,R72,C5000000,0.023,992,0,,
R72 11808 0034,"2138 University Pl, Dayton OH 45406",45406,R72,61000DVT,0.169,7368,0,,
R72 06608 0046,"28 Richmond Ave, Dayton OH 45406",45406,R72,C7001000,0.128,5560,0,,
R72 05907 0128,"43 Emmet St, Dayton OH 45405",45405,R72,51010MCP,0.112,4907,0,,
R72 06411 0005,"222 W Mcpherson St, Dayton OH 45405",45405,R72,51011MCP,0.138,6000,0,,
